id,genero,instrução,filhos,idade,altura,salário
279,Female,Services,1,88,180,4342.23
280,Male,Marketing,3,81,106,3819.78
281,Male,Research and Development,0,1,191,3919.3
282,Female,Research and Development,1,31,135,4322.57
283,Male,Engineering,2,78,175,4400.42
284,Female,Product Management,3,73,200,2572.61
285,Female,Business Development,2,9,185,3524.05
286,Female,Product Management,0,37,152,2024.08
287,Female,Sales,1,98,124,3531.96
288,Male,Human Resources,3,43,179,2910.81
289,Male,Engineering,0,0,196,2559.48
290,Female,Business Development,1,6,100,1133.82
291,Female,Legal,0,84,197,2257.8
292,Male,Services,1,4,105,3671.18
293,Female,Marketing,0,85,113,2181.84
294,Male,Human Resources,3,49,186,2404.51
295,Male,Accounting,2,24,186,3347.0
296,Male,Business Development,3,99,123,2702.42
297,Female,Marketing,3,8,148,3242.98
298,Male,Sales,2,73,113,1344.26
299,Female,Accounting,0,92,104,3155.59
300,Female,Accounting,2,26,133,1868.39
301,Female,Product Management,1,41,120,3374.05
302,Female,Training,0,97,129,1143.36
303,Male,Marketing,1,75,130,2477.34
304,Male,Research and Development,0,100,129,3095.28
305,Female,Training,0,32,117,2747.96
306,Female,Support,0,95,180,3034.52
307,Male,Business Development,1,52,184,4912.18
308,Female,Training,2,53,136,4963.98
309,Male,Product Management,1,41,149,3348.67
310,Male,Engineering,0,57,197,1026.14
311,Female,Marketing,1,24,124,1200.27
312,Female,Services,1,47,146,4388.7
313,Male,Business Development,2,28,131,1186.97
314,Female,Engineering,0,35,109,3184.35
315,Female,Accounting,2,19,171,4867.67
316,Female,Support,3,56,125,3476.95
317,Male,Training,1,54,146,1609.12
318,Male,Legal,3,21,126,2743.96
319,Male,Product Management,3,12,197,4209.88
320,Female,Support,2,96,155,4201.68
321,Male,Sales,0,64,152,3902.65
322,Female,Services,3,57,194,4289.68
323,Female,Services,1,21,142,4094.24
324,Male,Business Development,1,33,149,3850.02
325,Female,Support,0,15,167,3087.89
326,Male,Product Management,0,17,162,3010.56
327,Male,Accounting,2,67,158,1831.44
328,Female,Business Development,1,40,141,1923.62
329,Male,Accounting,3,44,152,4112.37
330,Female,Services,0,52,163,4150.08
331,Female,Training,2,49,129,3647.23
332,Female,Support,1,55,123,3889.14
333,Male,Support,2,96,128,3530.79
334,Female,Legal,3,50,128,2529.43
335,Female,Training,3,77,118,1397.03
336,Female,Services,3,45,141,1548.7
337,Male,Accounting,0,43,120,2013.35
338,Female,Legal,0,100,146,3363.62
339,Male,Engineering,0,67,144,1436.38
340,Male,Research and Development,2,5,153,2735.61
341,Female,Services,3,68,124,2064.34
342,Male,Business Development,1,9,130,4733.56
343,Female,Product Management,3,20,177,2286.55
344,Female,Services,1,77,131,3456.6
345,Male,Legal,3,59,164,1012.18
346,Female,Legal,2,98,106,3926.2
347,Female,Product Management,2,48,118,2410.9
348,Male,Support,0,35,145,1179.72
349,Male,Human Resources,2,53,168,4303.63
350,Female,Research and Development,2,45,158,3061.1
351,Male,Support,2,15,101,1764.2
352,Male,Research and Development,2,20,117,4514.72
353,Male,Sales,0,99,179,2262.79
354,Male,Engineering,0,11,100,2900.09
355,Male,Product Management,3,84,124,4787.48
356,Male,Research and Development,3,94,141,4663.98
357,Female,Business Development,1,20,173,3104.15
358,Female,Support,3,32,185,3060.3
359,Male,Accounting,1,92,166,1142.04
360,Male,Accounting,0,58,168,1154.49
361,Male,Services,2,58,120,4605.08
362,Female,Human Resources,2,7,113,3830.09
363,Male,Sales,0,92,189,1208.57
364,Female,Sales,0,2,124,3781.32
365,Female,Training,2,87,111,4617.81
366,Male,Accounting,1,45,146,1250.5
367,Female,Research and Development,2,59,156,3125.46
368,Female,Research and Development,1,7,104,2741.93
369,Female,Support,3,43,197,1619.33
370,Female,Product Management,0,74,193,4099.95
371,Male,Accounting,3,97,190,3453.82
372,Male,Training,1,32,143,3961.36
373,Male,Engineering,1,16,148,3805.09
374,Female,Human Resources,3,51,114,1686.15
375,Female,Sales,2,57,129,4538.2
376,Female,Research and Development,0,33,123,3019.49
377,Male,Legal,3,38,110,3233.38
378,Female,Human Resources,0,66,157,2982.24
379,Female,Human Resources,0,51,126,4792.15
380,Male,Business Development,1,97,196,2971.95
381,Male,Legal,2,54,107,2473.26
382,Male,Legal,0,83,103,1173.62
383,Female,Legal,1,45,149,4042.93
384,Male,Accounting,0,44,138,4328.5
385,Male,Product Management,0,17,190,4396.88
386,Female,Human Resources,2,49,123,4915.46
387,Male,Support,1,3,192,3978.38
388,Female,Product Management,0,93,167,3936.33
389,Female,Legal,3,40,106,2882.54
390,Female,Support,3,22,117,3708.35
391,Female,Services,0,9,129,4343.56
392,Female,Accounting,1,18,172,4972.45
393,Male,Training,2,17,128,3507.5
394,Male,Support,1,27,123,2327.51
395,Male,Business Development,2,1,119,4695.24
396,Female,Services,2,41,134,3349.71
397,Male,Engineering,0,15,112,2179.74
398,Female,Training,3,40,133,2320.38
399,Male,Research and Development,1,30,101,2773.64
400,Female,Research and Development,1,39,195,3420.14
401,Male,Engineering,2,14,176,1926.88
402,Male,Engineering,2,37,129,4125.12
403,Male,Training,0,98,190,3252.44
404,Male,Engineering,1,28,163,1860.96
405,Female,Services,2,26,181,1548.33
406,Female,Services,3,93,103,3630.34
407,Female,Training,1,39,110,1137.83
408,Female,Sales,2,15,184,4733.88
409,Male,Services,0,12,118,2963.44
410,Female,Marketing,2,68,161,2304.3
411,Male,Training,0,23,120,3567.32
412,Male,Legal,1,82,125,1028.89
413,Male,Product Management,2,57,147,1245.82
414,Male,Research and Development,0,86,143,4534.2
415,Female,Legal,3,65,170,3781.66
416,Male,Legal,0,63,181,2991.76
417,Female,Product Management,1,68,133,4747.3
418,Male,Research and Development,0,85,183,1058.3
419,Female,Marketing,0,95,138,3502.62
420,Male,Accounting,3,91,131,4618.75
421,Male,Human Resources,2,17,167,4976.79
422,Female,Services,2,83,180,1916.16
423,Female,Support,0,64,140,2581.06
424,Male,Business Development,0,80,151,4205.79
425,Male,Human Resources,0,16,100,3798.04
426,Female,Product Management,1,25,178,2994.58
427,Female,Services,3,46,161,3406.73
428,Female,Engineering,3,87,147,4643.92
429,Female,Legal,1,60,173,1169.31
430,Male,Marketing,3,85,113,4507.68
431,Male,Sales,1,41,124,2317.14
432,Male,Research and Development,0,4,177,3231.75
433,Female,Accounting,3,13,189,4850.18
434,Male,Legal,1,84,199,2056.36
435,Male,Sales,2,10,165,3325.07
436,Male,Services,1,33,161,4289.64
437,Female,Marketing,2,73,177,4757.24
438,Female,Business Development,0,51,194,4231.83
439,Female,Legal,1,32,176,4593.4
440,Female,Human Resources,1,31,101,4100.82
441,Female,Sales,1,18,179,4894.44
442,Male,Support,2,36,127,1468.65
443,Female,Legal,1,4,103,1895.28
444,Male,Accounting,0,78,164,1065.33
445,Male,Research and Development,0,1,147,1015.87
446,Male,Product Management,1,37,163,4864.84
447,Female,Research and Development,1,24,109,3726.77
448,Female,Training,2,38,132,4081.67
449,Male,Training,2,74,120,4897.71
450,Female,Marketing,0,20,198,4326.43
451,Female,Research and Development,2,90,156,4408.21
452,Female,Engineering,0,3,105,1803.16
453,Female,Business Development,1,51,172,4634.43
454,Female,Sales,2,97,186,4457.34
455,Male,Engineering,2,45,160,3308.79
456,Male,Support,0,94,152,1259.24
457,Male,Sales,3,16,171,1957.58
458,Female,Product Management,3,51,107,1466.37
459,Female,Marketing,3,34,159,4486.64
460,Male,Product Management,2,30,123,1387.28
461,Male,Sales,0,0,184,3895.88
462,Male,Legal,1,74,129,3919.24
463,Male,Training,1,82,195,2087.64
464,Female,Product Management,2,48,102,3377.81
465,Male,Human Resources,1,96,130,3252.74
466,Male,Training,3,3,133,3530.55
467,Female,Accounting,2,56,114,4207.19
468,Female,Engineering,1,14,171,1626.5
469,Female,Marketing,1,67,143,2894.7
470,Female,Engineering,1,54,146,3080.03
471,Male,Research and Development,1,42,115,2997.68
472,Female,Engineering,2,21,192,3350.73
473,Male,Human Resources,3,92,146,4276.96
474,Female,Services,0,88,150,4951.38
475,Female,Sales,3,11,152,3658.93
476,Female,Engineering,1,72,194,2788.79
477,Male,Product Management,2,94,108,1492.16
478,Male,Marketing,1,80,139,2448.15
479,Female,Support,2,27,163,1505.11
480,Female,Sales,1,3,124,4219.13
481,Female,Services,0,29,126,4564.22
482,Male,Human Resources,3,46,143,4938.19
483,Female,Legal,1,83,136,2911.37
484,Female,Human Resources,0,26,153,2647.09
485,Male,Accounting,1,41,115,4008.68
486,Male,Human Resources,3,99,114,4555.59
487,Male,Research and Development,1,62,101,2502.53
488,Female,Product Management,3,72,149,3309.54
489,Female,Research and Development,0,87,147,3829.9
490,Male,Business Development,0,5,138,3592.25
491,Female,Engineering,0,71,110,1275.91
492,Male,Engineering,2,88,195,4491.65
493,Female,Accounting,2,32,199,2301.94
494,Female,Training,1,39,184,1401.76
495,Female,Research and Development,3,23,123,1823.09
496,Female,Product Management,1,14,191,2081.54
497,Female,Training,3,50,182,2982.93
498,Male,Human Resources,0,57,134,1321.44
499,Male,Accounting,3,84,150,1911.9
500,Female,Engineering,2,60,178,3016.9
501,Female,Business Development,3,34,168,2430.02
502,Female,Marketing,2,16,163,3026.68
503,Male,Research and Development,2,31,140,2829.59
504,Male,Product Management,1,80,128,1473.78
505,Female,Product Management,0,27,198,1854.97
506,Male,Research and Development,2,44,124,1460.25
507,Female,Services,0,29,100,4722.61
508,Male,Sales,0,26,112,2669.09
509,Female,Training,3,72,136,3543.4
510,Male,Sales,0,19,105,3888.43
511,Female,Business Development,3,1,135,4534.96
512,Male,Research and Development,2,0,107,1326.42
513,Female,Engineering,3,78,101,3538.5
514,Male,Research and Development,2,17,140,1613.8
515,Female,Training,3,78,117,3197.24
516,Female,Training,3,73,114,2998.31
517,Male,Services,3,93,157,4188.29
518,Female,Marketing,3,44,183,4413.91
519,Male,Services,0,44,128,3130.64
520,Male,Marketing,0,89,123,3286.26
521,Female,Training,0,62,129,4901.78
522,Female,Sales,1,79,164,3313.67
523,Female,Sales,0,20,149,2627.87
524,Female,Product Management,2,98,163,3798.3
525,Male,Support,3,20,109,4307.8
526,Female,Engineering,2,90,102,2394.8
527,Male,Training,1,13,170,1990.05
528,Male,Engineering,1,70,128,2642.71
529,Male,Human Resources,1,30,148,3772.84
530,Female,Legal,0,66,106,3633.9
531,Female,Training,1,36,172,1324.13
532,Male,Product Management,2,23,130,1222.29
533,Female,Business Development,2,91,142,2799.38
534,Female,Engineering,0,75,170,3848.01
535,Female,Marketing,0,28,169,1754.16
536,Female,Product Management,0,63,126,2987.48
537,Male,Sales,2,10,170,2646.78
538,Male,Business Development,2,13,124,2476.68
539,Female,Research and Development,1,24,110,3150.05
540,Male,Research and Development,1,41,113,4875.89
541,Female,Engineering,1,3,159,3732.77
542,Male,Sales,3,48,167,4447.36
543,Male,Sales,0,14,173,3614.63
544,Female,Support,2,13,103,1558.63
545,Female,Marketing,1,77,145,4263.0
546,Female,Research and Development,0,2,179,3421.13
547,Male,Engineering,1,4,100,2910.19
548,Female,Services,1,68,120,4615.57
549,Female,Product Management,1,87,199,2356.76
550,Female,Business Development,3,77,124,3126.19
551,Female,Sales,0,41,109,2958.73
552,Male,Sales,0,17,155,2813.24
553,Female,Engineering,0,92,139,3217.43
554,Male,Services,0,93,170,4065.43
555,Female,Business Development,3,2,171,1789.25
556,Female,Training,2,9,113,1545.48
557,Female,Marketing,1,100,179,2833.3
558,Male,Support,0,55,103,2171.15
559,Female,Services,2,82,133,1885.01
560,Female,Engineering,1,87,113,1222.04
561,Female,Product Management,1,31,181,2544.92
562,Female,Services,2,40,179,1326.4
563,Female,Support,3,6,198,1590.59
564,Male,Accounting,0,43,165,3457.56
565,Male,Legal,2,64,118,3187.5
566,Female,Legal,1,24,154,3373.67
567,Female,Legal,1,5,190,3712.7
568,Male,Training,1,18,105,1777.72
569,Female,Accounting,0,76,100,3745.94
570,Male,Research and Development,0,7,192,1146.24
571,Female,Sales,1,62,193,3814.47
572,Male,Legal,1,64,167,3370.86
573,Male,Legal,1,54,188,3394.81
574,Female,Business Development,0,95,166,2663.75
575,Male,Sales,2,46,193,3477.55
576,Male,Business Development,0,55,122,2761.38
577,Female,Services,1,61,124,4550.38
578,Female,Marketing,0,18,195,2728.1
579,Male,Human Resources,1,76,167,3943.88
580,Male,Support,0,31,161,4153.39
581,Female,Business Development,0,57,131,4599.17
582,Female,Sales,1,93,143,3876.01
583,Male,Marketing,3,51,154,2623.0
584,Female,Training,0,13,159,1842.02
585,Male,Accounting,0,14,198,2924.39
586,Male,Marketing,1,15,110,3432.57
587,Female,Accounting,1,53,189,1197.09
588,Female,Training,2,35,195,3659.29
589,Male,Human Resources,3,35,176,1610.14
590,Female,Engineering,1,81,140,2160.04
591,Female,Legal,0,69,133,4009.45
592,Male,Services,2,13,195,2323.58
593,Male,Support,3,40,128,1411.92
594,Male,Accounting,0,41,186,1165.05
595,Male,Research and Development,3,58,185,3981.13
596,Female,Marketing,3,23,141,3764.92
597,Male,Research and Development,1,2,190,2661.95
598,Male,Sales,0,42,107,1612.97
599,Female,Business Development,3,95,115,1917.85
600,Female,Sales,3,22,188,1830.72
601,Male,Research and Development,0,68,109,3945.55
602,Male,Research and Development,1,57,200,4722.85
603,Male,Engineering,2,0,100,1061.99
604,Female,Sales,3,91,154,4127.4
605,Female,Sales,3,66,130,2513.75
606,Male,Business Development,3,57,127,2199.2
607,Female,Support,3,30,143,3941.64
608,Male,Support,3,66,128,2246.15
609,Male,Marketing,3,47,159,3048.15
610,Male,Business Development,3,19,176,4176.85
611,Female,Legal,1,71,194,2954.85
612,Male,Business Development,2,3,193,3666.88
613,Female,Product Management,2,98,181,4545.49
614,Female,Research and Development,2,78,157,3831.26
615,Male,Legal,1,5,124,2364.5
616,Male,Engineering,0,43,164,4526.04
617,Female,Support,2,41,200,2598.78
618,Female,Business Development,0,49,126,4925.49
619,Male,Services,3,24,197,4308.69
620,Male,Services,2,22,129,4297.96
621,Female,Business Development,0,81,171,1112.15
622,Female,Human Resources,1,64,112,4359.16
623,Male,Accounting,0,93,161,4404.63
624,Female,Research and Development,0,78,100,1353.07
625,Female,Services,3,47,123,1931.86
626,Female,Research and Development,3,17,138,1828.33
627,Female,Research and Development,3,27,168,1863.83
628,Male,Sales,1,64,127,1955.26
629,Female,Human Resources,3,28,136,4344.83
630,Female,Legal,0,29,133,3358.94
631,Female,Product Management,0,98,172,1378.01
632,Female,Marketing,3,62,164,2140.29
633,Female,Training,0,15,185,4203.1
634,Female,Sales,2,47,172,2685.79
635,Male,Marketing,0,95,187,2492.07
636,Female,Research and Development,1,100,179,2097.96
637,Female,Training,3,24,124,2508.94
638,Female,Product Management,1,61,116,1187.79
639,Male,Support,1,19,178,4737.26
640,Female,Accounting,2,69,145,2538.47
641,Male,Business Development,2,27,185,3511.19
642,Male,Marketing,0,50,176,3923.43
643,Female,Legal,3,39,118,4956.29
644,Male,Marketing,2,33,151,2717.83
645,Female,Support,1,70,155,4167.7
646,Male,Engineering,3,76,154,1778.88
647,Male,Human Resources,3,8,146,3428.46
648,Female,Legal,3,25,176,4313.76
649,Male,Legal,2,98,158,3450.1
650,Male,Support,1,28,177,2196.91
651,Male,Product Management,2,65,177,1609.79
652,Female,Marketing,2,15,143,1881.21
653,Male,Support,0,46,139,4282.26
654,Female,Product Management,2,100,133,3855.04
655,Male,Marketing,0,80,154,3863.74
656,Male,Research and Development,3,42,147,1045.15
657,Female,Business Development,1,73,145,1335.36
658,Male,Human Resources,3,18,126,1043.28
659,Female,Sales,2,15,108,4856.15
660,Male,Accounting,2,98,174,2225.2
661,Female,Sales,2,40,144,1555.23
662,Female,Product Management,0,81,170,3270.48
663,Male,Product Management,2,73,128,4374.48
664,Female,Training,3,21,137,2206.77
665,Female,Services,2,40,144,3561.65
666,Female,Research and Development,0,26,156,1046.1
667,Female,Human Resources,3,44,108,2308.33
668,Male,Training,1,83,190,3269.35
669,Female,Human Resources,2,79,107,3258.51
670,Female,Engineering,1,29,190,2789.57
671,Male,Sales,1,16,118,2410.9
672,Male,Services,2,32,184,3333.44
673,Male,Training,3,37,121,1455.35
674,Male,Services,3,81,179,2806.22
675,Female,Marketing,2,28,158,2050.56
676,Male,Product Management,2,17,153,3812.63
677,Male,Training,0,83,107,3030.69
678,Male,Services,1,95,120,3236.12
679,Male,Support,2,47,173,4179.81
680,Male,Business Development,3,42,189,1230.65
