Id,Voto,Etnia,ConfPol,LibEcon
305,Mathian,Volvo,2,8
306,Clyve,Audi,10,3
307,Fanechka,Hyundai,8,9
308,Cross,BMW,4,9
309,Reine,Honda,3,10
310,Dalenna,Toyota,7,8
311,Shem,Toyota,9,3
312,Hashim,Honda,6,4
313,Nalani,Toyota,8,10
314,Dix,Ford,9,3
315,Shurwood,Mazda,2,8
316,Lilllie,Chevrolet,9,5
317,Gabrila,Ford,6,2
318,Franz,Bentley,5,4
319,Siusan,Ford,4,1
320,Arlen,Honda,9,4
321,Jereme,Dodge,4,8
322,Aliza,Cadillac,8,4
323,Ambrosius,Mitsubishi,8,3
324,Elinor,Pontiac,2,6
325,Welch,Chevrolet,6,7
326,Duncan,Chevrolet,8,7
327,Clarey,Chevrolet,8,10
328,Aaron,Lincoln,2,9
329,Jorry,Saturn,1,1
330,Leonerd,Mazda,9,8
331,Wesley,Dodge,1,3
332,Edita,Toyota,8,5
333,Lyell,Audi,5,5
334,Benn,Lexus,9,10
335,Sibeal,Ford,4,9
336,Van,Mazda,2,1
337,Johna,Cadillac,8,3
338,Krisha,Pontiac,4,2
339,Abelard,Ford,9,3
340,Terry,Ford,9,10
341,Curt,Infiniti,4,8
342,Cristal,Mazda,10,5
343,Cynthie,Cadillac,9,6
344,Kriste,Maserati,9,7
345,Roxana,Mitsubishi,5,7
346,Jasmin,Chrysler,4,6
347,Amara,Chevrolet,4,2
348,Eulalie,Mazda,6,7
349,Tracee,Oldsmobile,4,7
350,Emmie,GMC,7,4
351,Marget,Ford,4,1
352,Wynnie,Saab,9,3
353,Thaddeus,Jeep,5,1
354,Josy,Chrysler,7,1
355,Angel,Dodge,8,2
356,Orella,Volkswagen,4,7
357,Cirillo,Pontiac,3,8
358,Ahmed,Land Rover,8,5
359,Westley,GMC,10,4
360,Lesly,Mazda,7,8
361,Amara,Chevrolet,7,5
362,Leann,Land Rover,2,7
363,Nettle,Oldsmobile,6,6
364,Heywood,Pontiac,5,6
365,Rosalynd,Chevrolet,8,10
366,Tabitha,Ford,2,6
367,Abba,Peugeot,2,8
368,Olga,Cadillac,6,10
369,Brigitte,Pontiac,6,7
370,Danit,GMC,7,4
371,Lacy,Pontiac,3,1
372,Jenelle,Lexus,8,10
373,Farrell,Infiniti,5,10
374,Gary,Hummer,2,1
375,Lenora,Volvo,1,6
376,Zack,Ford,6,10
377,Joleen,Ford,3,1
378,Kingsly,Honda,4,6
379,Bridgette,Porsche,2,5
380,Corly,Jeep,4,6
381,Mireielle,Mercedes-Benz,2,8
382,Valle,Dodge,7,10
383,Carmel,Toyota,10,9
384,Rodie,Volkswagen,3,9
385,Bat,Acura,6,1
386,Imogene,Isuzu,1,7
387,Shalna,Oldsmobile,7,8
388,Alphonso,Volkswagen,1,10
389,Morly,Toyota,10,10
390,Caresse,Toyota,9,2
391,Lari,Mazda,2,2
392,Sylvester,Pontiac,9,10
393,Ferdy,Mazda,7,8
394,Irving,Chrysler,8,2
395,Breanne,Isuzu,2,10
396,Elbertine,Ford,10,2
397,Amabel,Infiniti,5,7
398,Merlina,Jeep,6,10
399,Ardella,Pontiac,1,7
400,Armand,Honda,10,10
401,Fowler,Pontiac,2,8
402,Elston,Infiniti,6,3
403,Reinaldo,Kia,1,1
404,Isobel,Chevrolet,5,4
405,Sharai,Acura,8,7
406,Augie,Hyundai,8,8
407,Hill,Honda,4,4
408,Brunhilda,Audi,2,3
409,Tiebold,Audi,10,9
410,Bibbye,Chevrolet,9,2
411,Antons,Jeep,2,7
412,Bentlee,Subaru,9,6
413,Estell,Plymouth,7,6
414,Mae,Audi,8,6
415,Stavros,Mercedes-Benz,7,1
416,Ellissa,Audi,8,9
417,Arlie,Jeep,10,2
418,Philly,Chevrolet,9,4
419,Debbie,Mazda,10,2
420,Wanda,Chevrolet,3,3
421,Marylou,Ford,6,1
422,Jayson,Chevrolet,6,9
423,Janis,Toyota,4,5
424,Sallyann,Volvo,9,1
425,Corene,Maserati,7,9
426,Caitlin,Kia,1,8
427,Misty,Subaru,8,2
428,Kit,Hyundai,5,4
429,Lorrie,Infiniti,6,9
430,Hermann,Hyundai,8,10
431,Lotte,Toyota,8,9
432,Bernelle,Toyota,9,2
433,Nessa,Dodge,7,1
434,Robena,Mercedes-Benz,4,9
435,Findley,Acura,2,3
436,Roley,Chevrolet,1,4
437,Dulciana,Nissan,10,9
438,Kelcy,Chevrolet,5,1
439,Cassius,Cadillac,4,3
440,Humberto,GMC,7,4
441,Hillyer,Mercedes-Benz,8,2
442,Reidar,Nissan,5,10
443,Stewart,Dodge,1,5
444,Arleen,Audi,2,7
445,Karola,Chevrolet,7,8
446,Gilberte,Toyota,4,3
447,Oralla,Mazda,10,5
448,Ingram,BMW,10,10
449,Ingeberg,GMC,8,6
450,Sven,Chevrolet,5,7
451,Betsey,Porsche,5,9
452,Phoebe,Subaru,3,6
453,Enrique,Ford,6,7
454,Adelle,Acura,7,8
455,Kris,Nissan,2,4
456,Everard,Toyota,8,3
457,Westbrooke,Pontiac,2,4
458,Josey,Buick,8,10
459,Ulrick,Dodge,4,10
460,Gaile,Dodge,10,8
461,Gwenni,Saturn,7,2
462,Nessi,Infiniti,5,7
463,Anni,Mercedes-Benz,3,1
464,Gibb,Volvo,10,9
465,Matti,Toyota,8,9
466,Alva,Nissan,7,8
467,Daphene,Volkswagen,4,7
468,Hilary,Subaru,8,10
469,Jodi,Saab,3,3
470,Reider,Lexus,4,1
471,Anica,Aston Martin,5,7
472,Saxe,Mercury,8,7
473,Della,Chrysler,5,7
474,Maressa,Lexus,3,1
475,Cecil,BMW,6,4
476,Silva,Toyota,5,3
477,Bartholomeo,Maserati,3,1
478,Viva,Maybach,5,4
479,Holmes,Chevrolet,8,9
480,Sela,Subaru,2,3
481,Pattie,Mitsubishi,2,8
482,Tabina,Isuzu,7,5
483,Barbra,Nissan,1,4
484,Rosemary,Mercedes-Benz,6,10
485,Randi,Maybach,6,4
486,Lark,Porsche,3,6
487,Shirl,Audi,10,5
488,Grace,Ford,6,2
489,Whitney,Lexus,2,8
490,Carson,Ford,7,4
491,Savina,Geo,5,9
492,Willey,Geo,4,1
493,Worthy,Nissan,4,2
494,Alexandr,Lexus,4,7
495,Nicole,Volkswagen,7,7
496,Tristam,Nissan,5,10
497,Denna,Plymouth,9,8
498,Bram,Mazda,1,9
499,Beck,Subaru,6,8
500,Quintilla,Isuzu,5,4
501,Durante,Honda,3,6
502,Norrie,Pontiac,1,7
503,Valentia,Mazda,10,1
504,Devin,Chevrolet,4,1
505,Ruddy,Mercedes-Benz,5,9
506,Leann,Chevrolet,6,2
507,Rodi,Pontiac,4,7
508,Remy,Ford,3,3
509,Sheilah,Audi,7,7
510,Marijn,Spyker,10,8
511,Lovell,Acura,7,1
512,Berti,Mazda,5,4
513,Betsey,Saturn,10,3
514,Jerrold,Dodge,3,10
515,Horacio,Maybach,1,6
516,Hetti,Dodge,3,8
517,Johnathan,Cadillac,1,5
518,Georgeanne,Cadillac,3,10
519,Huntley,Ford,10,1
520,Reiko,Jaguar,5,3
521,Tildy,Nissan,1,1
522,Ketty,Bentley,5,1
523,Tabor,Buick,10,10
524,Morey,Cadillac,4,3
525,Claudian,Mitsubishi,3,7
526,Noella,Chevrolet,10,2
527,Nance,Chevrolet,9,2
528,Lucias,Ford,10,4
529,Fey,Mercedes-Benz,8,8
530,Nahum,Toyota,5,2
531,Cassie,Mercedes-Benz,2,4
532,Burnaby,Peugeot,7,10
533,Cullan,Kia,8,8
534,Kris,Mercedes-Benz,9,4
535,Violante,Honda,1,8
536,Spence,BMW,4,7
537,Pryce,Ford,7,7
538,Trixy,Buick,9,10
539,Vladimir,Lexus,7,1
540,Jameson,Infiniti,1,5
541,Valerye,Volkswagen,2,7
542,Antonie,Honda,2,2
543,Isabelita,GMC,9,5
544,Angelita,Nissan,6,7
545,Benson,Cadillac,3,9
546,Shandra,Lamborghini,5,2
547,Burnard,Chevrolet,7,2
548,Arvie,Honda,5,5
549,Morgen,Bentley,8,7
550,Nicolis,Cadillac,10,6
551,Colby,Toyota,1,2
552,Flossie,Jeep,2,3
553,Quincey,Bugatti,1,9
554,Datha,Mercury,4,1
555,Lilly,Mazda,6,4
556,Yolanda,Honda,6,6
557,Eward,Audi,8,6
558,Melonie,Nissan,3,5
559,Brandyn,Lincoln,2,8
560,Simon,Kia,8,10
561,Ogdon,Ford,6,4
562,Vinson,Cadillac,4,8
563,Cathyleen,Chevrolet,10,6
564,Enid,Chevrolet,6,3
565,Renae,Isuzu,7,8
566,Brittne,GMC,3,9
567,Kynthia,Subaru,9,9
568,Temp,Chevrolet,1,8
569,Amelita,Chevrolet,6,6
570,Arther,Subaru,2,1
571,Dorita,Lexus,4,9
572,Else,Maybach,3,8
573,Brigid,Lexus,8,10
574,Kelwin,Toyota,4,2
575,Austin,Jaguar,9,5
576,Frederica,Mazda,3,8
577,Linnet,Cadillac,5,8
578,Bradney,Saab,7,9
579,Gaye,Nissan,2,7
580,Teodoor,Cadillac,3,3
581,Susi,Suzuki,6,6
582,Midge,Saab,1,5
583,Jilly,Chevrolet,5,5
584,Larisa,Hyundai,10,4
585,Aldrich,Ford,5,10
586,Kissie,Nissan,6,9
587,Red,Ford,2,8
588,Catharina,Buick,2,5
589,Constantia,Oldsmobile,2,7
590,Imojean,Toyota,7,7
591,Ertha,Daewoo,5,8
592,Susette,Pontiac,2,2
593,Carter,Chevrolet,9,7
594,Virgina,Mercedes-Benz,10,2
595,Kacey,Chevrolet,2,2
596,Wilmette,Volkswagen,5,7
597,Martita,Mazda,4,3
598,Pia,Pontiac,10,3
599,Reider,Honda,2,2
600,Anett,Pontiac,1,5
601,Carolyn,Cadillac,5,6
602,Camella,Buick,10,6
603,Trixy,Audi,3,5
604,Sosanna,Volkswagen,6,1
605,Curr,BMW,1,6
606,Heidie,Mercedes-Benz,4,6
607,Loretta,Ford,6,3
608,Renaud,Pontiac,2,7
609,Idaline,Infiniti,7,1
610,Randie,Mitsubishi,8,2
611,Gerhardine,Ford,1,3
612,Fannie,Toyota,4,7
613,Tobe,Audi,1,4
614,Rik,Hyundai,9,1
615,Juana,Dodge,6,10
616,Gavan,Mitsubishi,7,6
617,Sergeant,Toyota,2,5
618,Sallyann,Isuzu,6,5
619,Jannel,Jeep,10,3
620,Gill,Acura,1,2
621,Julianne,Buick,1,10
622,Herb,Toyota,10,2
623,Ham,Lincoln,7,2
624,Weston,GMC,4,1
625,Rouvin,Toyota,1,2
626,Stacie,Volkswagen,8,4
627,Barny,Mercury,10,4
628,Geordie,Chevrolet,8,7
629,Hobie,Dodge,1,2
630,Marget,Lexus,5,4
631,Marissa,Mitsubishi,9,6
632,Bessy,Hyundai,7,7
633,Stillman,Jaguar,2,1
634,Odo,Isuzu,1,6
635,Andriette,Cadillac,6,9
636,Lizzie,Mitsubishi,9,2
637,Jen,GMC,3,10
638,Forrest,Mercedes-Benz,10,9
639,Scarlet,Buick,3,10
640,Chester,Pontiac,5,6
641,Dianna,Audi,9,4
642,Jessamine,Chevrolet,2,5
643,Zarah,Ford,6,4
644,Jarid,Cadillac,6,9
645,Keelby,Ford,9,6
646,Brad,Nissan,8,9
647,Lyon,Land Rover,8,3
648,Ari,Toyota,6,5
649,Glennie,Chevrolet,7,5
650,Helenka,Volvo,10,1
651,Haslett,GMC,7,8
652,Theodora,Isuzu,7,7
653,Kandy,Audi,10,6
654,Ailey,Volkswagen,10,7
655,Rhys,Buick,8,6
656,Olympia,GMC,8,5
657,Erda,Pontiac,4,4
658,Callean,Pontiac,8,5
659,Feliza,Lincoln,2,4
660,Verna,Volvo,5,1
661,Ozzy,Chevrolet,10,8
662,Daphne,Scion,3,8
663,Christopher,Lotus,10,4
664,Jean,Pontiac,5,5
665,Jayme,Toyota,3,7
666,Perry,BMW,2,1
667,Kaile,Nissan,3,4
668,Letty,GMC,9,3
669,Pip,Cadillac,10,2
670,Kalvin,Infiniti,2,3
671,Jamey,Mercury,7,3
672,Junia,BMW,10,2
673,Esme,BMW,8,6
674,Ronnie,Plymouth,3,9
675,Basilio,Cadillac,1,3
676,Regan,Hyundai,4,4
677,Micaela,Chevrolet,10,8
678,Cathlene,BMW,5,9
679,Yoshi,Chevrolet,8,10
680,Ermina,Kia,7,4
681,Tammara,Volvo,8,7
682,Brendis,Porsche,10,9
683,Vivyan,Toyota,6,7
684,Robinson,Acura,4,9
685,Raviv,Saturn,4,6
686,Benni,Volkswagen,2,7
687,Augustina,Acura,3,8
688,Clarinda,Mercedes-Benz,7,6
689,Andris,Toyota,2,7
690,Locke,Mazda,3,7
691,Gunner,Mazda,1,2
692,Wilek,Volvo,2,6
693,Christoforo,Chevrolet,9,1
694,Julia,Cadillac,3,8
695,Nessa,Chevrolet,3,9
696,Horten,Pontiac,9,6
697,Beale,Chrysler,2,1
698,Othelia,Ford,1,6
699,Josephina,Rolls-Royce,10,8
700,Felicia,Lincoln,5,2
701,Elianora,Plymouth,5,7
702,Jennette,Kia,6,8
703,Loretta,Lexus,5,6
704,Lydie,Mazda,2,5
705,Harrietta,Toyota,9,4
706,Basilio,Ford,4,3
707,Englebert,Lamborghini,9,1
708,Crista,Lexus,8,4
709,Clarke,Jeep,4,7
710,Clio,GMC,7,4
711,Nettle,Mercury,4,6
712,Golda,Pontiac,1,9
713,Darrel,Chrysler,10,9
714,Fay,Buick,5,9
715,Alethea,Lamborghini,4,3
716,Sosanna,Mazda,10,1
717,Marcelline,Dodge,9,10
718,Allina,Volvo,4,7
719,Matty,Volkswagen,1,8
720,Vivienne,Ford,7,9
721,Annette,Volkswagen,2,5
722,Dorita,Acura,2,1
723,Brion,Oldsmobile,9,1
724,Edy,Pontiac,3,1
725,Marcellina,BMW,5,9
726,Amandi,Infiniti,2,8
727,Sibbie,Mazda,1,3
728,Jarid,Buick,1,5
729,Wilone,Chevrolet,7,8
730,Augusto,Toyota,10,2
731,Burlie,GMC,6,4
732,Randal,Mercury,1,5
733,Ryann,Volkswagen,6,10
734,Afton,Toyota,7,6
735,Jaquith,Pontiac,5,10
736,Collin,Toyota,1,3
737,Adams,Chrysler,5,6
738,Stefano,GMC,1,3
739,Peyter,Ford,7,3
740,Trina,Dodge,5,3
741,Tiphany,Isuzu,5,1
742,Flory,Jeep,10,6
743,Brander,Mercedes-Benz,2,10
744,Alexis,Nissan,6,10
745,Armando,Oldsmobile,5,4
746,Devi,Lexus,7,8
747,Marjy,Honda,8,1
748,Wit,Honda,4,8
749,Fraser,Porsche,6,7
750,Harland,Chevrolet,4,9
751,Beltran,GMC,5,9
752,Shelley,Dodge,7,1
753,Kimberley,Kia,7,4
754,Kelvin,Buick,7,2
755,Martelle,Suzuki,7,2
756,Dido,Nissan,2,2
757,Waldemar,Suzuki,7,6
758,Shayla,Jaguar,6,10
759,Jania,BMW,5,1
760,Terza,Land Rover,2,3
761,Ranee,Mercury,10,10
762,Estelle,Volkswagen,6,1
763,Darelle,GMC,8,4
764,Henrieta,GMC,3,5
765,Regine,Pontiac,3,2
766,Benni,BMW,1,1
767,Marcellina,Mercedes-Benz,8,8
768,Clemens,Mercedes-Benz,6,7
769,Decca,Chevrolet,3,10
770,Myrvyn,Ford,2,1
771,Leanor,Dodge,4,2
772,Madelene,BMW,2,1
773,Karlotta,Audi,3,5
774,Xaviera,Lexus,3,6
775,Westley,Ford,2,2
776,Zorina,Jaguar,1,4
777,Marji,Lamborghini,1,7
778,Auroora,Ford,3,3
779,Warde,Mazda,6,3
780,Jillene,GMC,5,6
781,Sylvia,Acura,7,1
782,Parry,Pontiac,4,3
783,Whittaker,Chevrolet,10,6
784,Selene,Volkswagen,4,6
785,Madeline,Hyundai,2,2
786,Rubie,Audi,4,10
787,Philippa,Acura,5,6
788,Leonhard,Oldsmobile,5,4
789,Fania,Ford,4,7
790,Liv,GMC,5,10
791,Ermentrude,Chrysler,6,3
792,Trenton,Audi,8,1
793,Candis,Ford,5,2
794,Beltran,Audi,2,2
795,Lesley,Lexus,8,4
796,Pier,Mitsubishi,2,2
797,Stefa,Chevrolet,3,1
798,Trish,Toyota,4,9
799,Goddard,Mercedes-Benz,9,1
800,Rorie,Acura,6,5
801,Putnam,Aston Martin,6,1
802,Godiva,Toyota,10,9
803,Hilton,Mitsubishi,4,2
804,Viviana,Pontiac,10,4
805,Pearla,Honda,7,1
806,Duncan,Kia,10,4
807,Yehudit,Mazda,2,6
808,Felicle,Aston Martin,1,5
809,Felicity,Ford,10,3
810,Teresina,Cadillac,10,2
811,Hiram,Buick,10,10
812,Aldwin,Alfa Romeo,2,7
813,Sherman,Chrysler,9,5
814,Nert,Mercedes-Benz,3,8
815,Benito,Audi,3,4
816,Dickie,Studebaker,6,1
817,Herb,MG,4,6
818,Julieta,Mazda,6,6
819,Fidela,Mercedes-Benz,1,7
820,Darbie,Lexus,4,1
821,Ely,Hillman,4,3
822,Palm,Acura,4,10
823,Karon,Mitsubishi,8,9
824,Sid,BMW,5,2
825,Nata,Suzuki,9,4
826,Kelsy,Eagle,6,1
827,Cash,Maserati,8,9
828,Cos,Mazda,3,9
829,Gilli,BMW,6,1
830,Trevor,Lexus,8,8
831,Brant,Mercedes-Benz,10,1
832,Pate,Lincoln,3,10
833,Sherri,BMW,1,5
834,Mureil,Dodge,7,4
835,Alicea,Mazda,8,6
836,Leona,Aston Martin,2,5
837,Clem,Toyota,3,8
838,Tanya,Toyota,1,9
839,Cristionna,GMC,10,5
840,Melessa,Nissan,5,9
841,Denney,Cadillac,10,9
842,Drucill,Ford,6,9
843,Frederich,Buick,9,1
844,Herrick,Maserati,10,1
845,Claudius,Acura,7,9
846,Harlin,Porsche,7,1
847,Alysia,Acura,6,1
848,Reine,Toyota,5,8
849,Bernadine,Lincoln,7,2
850,Erika,Aptera,9,7
851,Arlen,Saturn,2,3
852,Tierney,Mazda,9,2
